mechanism,worker_id,task_id,cluster_id,family,offset,baseline_payoff,deviation_payoff,deviation_gain,selection_change,principal_value_change
coupled_winner,openai_small,2hop__131951_643670,2hop__131951_643670,musique,0.3,0.0,0.5975,0.5975,1,0.0009459999999999999
coupled_winner,openai_small,2hop__161151_42352,2hop__161151_42352,musique,0.3,1.4375,1.5,0.0625,0,0.0
coupled_winner,openai_small,2hop__691639_154896,2hop__691639_154896,musique,0.3,0.0,0.6900000000000002,0.6900000000000002,1,0.0024581
coupled_winner,openai_small,2hop__13353_17738,2hop__13353_17738,musique,0.3,0.0,1.49,1.49,1,0.0018466000000000038
coupled_winner,openai_small,2hop__133116_533882,2hop__133116_533882,musique,0.3,0.0,0.5,0.5,1,0.0013698
coupled_winner,openai_small,2hop__763840_144857,2hop__763840_144857,musique,0.3,0.0,0.5,0.5,1,0.001435
coupled_winner,openai_small,2hop__728887_159109,2hop__728887_159109,musique,0.3,0.0,0.5,0.5,1,0.0051228
coupled_winner,openai_small,2hop__84103_345851,2hop__84103_345851,musique,0.3,0.0,1.5,1.5,1,0.0021072000000000035
coupled_winner,openai_small,2hop__151705_141308,2hop__151705_141308,musique,0.3,0.0,0.6900000000000002,0.6900000000000002,1,0.001486
coupled_winner,openai_small,2hop__158247_71142,2hop__158247_71142,musique,0.3,0.0,1.09,1.09,1,-0.1227732
coupled_winner,openai_small,3hop1__103662_443779_52195,3hop1__103662_443779_52195,musique,0.3,0.0,1.5,1.5,1,0.0022435999999999845
coupled_winner,openai_small,3hop1__469478_15840_36002,3hop1__469478_15840_36002,musique,0.3,0.0,0.5,0.5,1,0.002309
coupled_winner,openai_small,3hop1__30885_160713_77246,3hop1__30885_160713_77246,musique,0.3,0.0,0.5,0.5,1,0.0025626
coupled_winner,openai_small,3hop1__222497_737465_93723,3hop1__222497_737465_93723,musique,0.3,1.4375,1.5,0.0625,0,0.0
coupled_winner,openai_small,3hop1__135794_87694_64412,3hop1__135794_87694_64412,musique,0.3,0.0,0.5975,0.5975,1,-0.2421944
